Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456213Z  INFO sui_indexer::handlers::checkpoint_handler: Indexing checkpoint data blob checkpoint_seq=95141
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456216Z  INFO sui_indexer::handlers::checkpoint_handler: Indexing checkpoint data blob checkpoint_seq=95142
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456217Z  INFO sui_types::nats_queue: Received checkpoint with seq number 95124 but expected 85168
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456218Z  INFO sui_data_ingestion_core::worker_pool: finished checkpoint processing 95133 for workflow primary in 67.296µs
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456218Z  INFO sui_indexer::handlers::checkpoint_handler: Resolving Move struct layouts for struct tags of size 1.
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456219Z  INFO sui_indexer::handlers::checkpoint_handler: Resolving Move struct layouts for struct tags of size 1.
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456219Z  INFO sui_types::nats_queue: Received checkpoint with seq number 95133 but expected 85168
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456220Z  INFO sui_indexer::handlers::checkpoint_handler: Resolving Move struct layouts for struct tags of size 1.
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456221Z  INFO sui_types::nats_queue: Received checkpoint with seq number 95124 but expected 85168
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456223Z  INFO sui_types::nats_queue: Received checkpoint with seq number 95133 but expected 85168
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456223Z  INFO sui_indexer::handlers::checkpoint_handler: Indexing checkpoint data blob checkpoint_seq=95137
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456224Z  INFO sui_indexer::handlers::checkpoint_handler: Resolving Move struct layouts for struct tags of size 1.
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456226Z  INFO sui_indexer::handlers::checkpoint_handler: Resolving Move struct layouts for struct tags of size 1.
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456224Z  INFO sui_data_ingestion_core::worker_pool: received checkpoint for processing 95140 for workflow primary
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456226Z  INFO sui_data_ingestion_core::worker_pool: received checkpoint for processing 95138 for workflow primary
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456226Z  INFO sui_indexer::handlers::checkpoint_handler: Resolving Move struct layouts for struct tags of size 1.
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456228Z  INFO sui_indexer::handlers::checkpoint_handler: Indexer lag: indexed checkpoint 95131 with time now 1726138825456 and checkpoint time 1681502931527
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456229Z  INFO sui_indexer::handlers::checkpoint_handler: Indexer lag: indexed checkpoint 95127 with time now 1726138825456 and checkpoint time 1681502927526
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456229Z  INFO sui_indexer::handlers::checkpoint_handler: Resolving Move struct layouts for struct tags of size 1.
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456232Z  INFO sui_indexer::handlers::checkpoint_handler: checkpoint download lag for cp 95138: 44635886918 ms
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456232Z  INFO sui_indexer::handlers::checkpoint_handler: Resolving Move struct layouts for struct tags of size 1.
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456232Z  INFO sui_indexer::handlers::checkpoint_handler: checkpoint download lag for cp 95140: 44635884975 ms
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456233Z  INFO sui_indexer::handlers::checkpoint_handler: Indexer lag: downloaded checkpoint 95138 with time now 1726138825456 and checkpoint time 1681502938538
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456234Z  INFO sui_data_ingestion_core::worker_pool: finished checkpoint processing 95127 for workflow primary in 73.728µs
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456234Z  INFO sui_indexer::handlers::checkpoint_handler: Indexer lag: downloaded checkpoint 95140 with time now 1726138825456 and checkpoint time 1681502940481
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456237Z  INFO sui_data_ingestion_core::worker_pool: finished checkpoint processing 95131 for workflow primary in 86.982µs
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456238Z  INFO sui_indexer::handlers::checkpoint_handler: Indexing checkpoint data blob checkpoint_seq=95138
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456239Z  INFO sui_indexer::handlers::checkpoint_handler: Resolving Move struct layouts for struct tags of size 1.
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456240Z  INFO sui_types::nats_queue: Received checkpoint with seq number 95127 but expected 85168
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456242Z  INFO sui_types::nats_queue: Received checkpoint with seq number 95131 but expected 85168
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456242Z  INFO sui_types::nats_queue: Received checkpoint with seq number 95127 but expected 85168
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456244Z  INFO sui_types::nats_queue: Received checkpoint with seq number 95131 but expected 85168
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456243Z  INFO sui_indexer::handlers::checkpoint_handler: Indexing checkpoint data blob checkpoint_seq=95140
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456244Z  INFO sui_indexer::handlers::checkpoint_handler: Resolving Move struct layouts for struct tags of size 1.
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456245Z  INFO sui_indexer::handlers::checkpoint_handler: Indexer lag: indexed checkpoint 95136 with time now 1726138825456 and checkpoint time 1681502936516
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456247Z  INFO sui_indexer::handlers::checkpoint_handler: Resolving Move struct layouts for struct tags of size 1.
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456247Z  INFO sui_indexer::handlers::checkpoint_handler: Indexer lag: indexed checkpoint 95134 with time now 1726138825456 and checkpoint time 1681502934570
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456248Z  INFO sui_indexer::handlers::checkpoint_handler: Indexer lag: indexed checkpoint 95139 with time now 1726138825456 and checkpoint time 1681502939570
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456249Z  INFO sui_indexer::handlers::checkpoint_handler: Resolving Move struct layouts for struct tags of size 1.
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456250Z  INFO sui_indexer::handlers::checkpoint_handler: Indexer lag: indexed checkpoint 95135 with time now 1726138825456 and checkpoint time 1681502935535
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456253Z  INFO sui_indexer::handlers::checkpoint_handler: Indexer lag: indexed checkpoint 95132 with time now 1726138825456 and checkpoint time 1681502932529
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456253Z  INFO sui_indexer::handlers::checkpoint_handler: Indexer lag: indexed checkpoint 95129 with time now 1726138825456 and checkpoint time 1681502929565
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456255Z  INFO sui_indexer::handlers::checkpoint_handler: Resolving Move struct layouts for struct tags of size 1.
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456256Z  INFO sui_data_ingestion_core::worker_pool: finished checkpoint processing 95136 for workflow primary in 70.271µs
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456258Z  INFO sui_data_ingestion_core::worker_pool: finished checkpoint processing 95139 for workflow primary in 58.489µs
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456261Z  INFO sui_data_ingestion_core::worker_pool: finished checkpoint processing 95135 for workflow primary in 74.569µs
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456262Z  INFO sui_indexer::handlers::checkpoint_handler: Resolving Move struct layouts for struct tags of size 1.
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456264Z  INFO sui_data_ingestion_core::worker_pool: received checkpoint for processing 95145 for workflow primary
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456264Z  INFO sui_data_ingestion_core::worker_pool: finished checkpoint processing 95134 for workflow primary in 117.981µs
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456266Z  INFO sui_types::nats_queue: Received checkpoint with seq number 95136 but expected 85168
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456265Z  INFO sui_data_ingestion_core::worker_pool: finished checkpoint processing 95132 for workflow primary in 111.167µs
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456265Z  INFO sui_data_ingestion_core::worker_pool: finished checkpoint processing 95129 for workflow primary in 100.749µs
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456267Z  INFO sui_indexer::handlers::checkpoint_handler: checkpoint download lag for cp 95145: 44635879878 ms
